ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
CNEC LAU WING SANG SECONDARY SCH,842995,814008,CO-ED,EASTERN
TOI SHAN ASSOCIATION COLLEGE,838473,826843,CO-ED,SHA TIN
LIONS COLLEGE,830854,824503,CO-ED,KWAI TSING
SKH LEUNG KWAI YEE SECONDARY SCHOOL,841872,819430,CO-ED,KWUN TONG
STFA LEUNG KAU KUI COLLEGE,815778,827634,CO-ED,TUEN MUN
SALESIAN ENGLISH SCHOOL,841633,815244,BOYS,EASTERN
CMA SECONDARY SCHOOL,835509,822155,CO-ED,SHAM SHUI PO
SKH LUI MING CHOI SECONDARY SCHOOL,831887,812685,CO-ED,SOUTHERN
TRUE LIGHT GIRLS' COLLEGE,835884.8,819385.2,GIRLS,YAU TSIM MONG
CARMEL DIVINE GRACE FOUNDATION SEC SCH,844238,820822,CO-ED,SAI KUNG
POH TANG PUI KING MEMORIAL COLLEGE,820319,834411,CO-ED,YUEN LONG
BUDDHIST WAI YAN MEMORIAL COLLEGE,820710,807404,CO-ED,ISLANDS
KIT SAM LAM BING YIM SECONDARY SCHOOL,837128,822456,GIRLS,WONG TAI SIN
TSANG PIK SHAN SECONDARY SCHOOL,841663,831466,CO-ED,SHA TIN
WA YING COLLEGE,836861,820051,CO-ED,KOWLOON CITY
MUNSANG COLLEGE,837184,821571,CO-ED,KOWLOON CITY
TANG KING PO SCHOOL,837074,820156,BOYS,KOWLOON CITY
SHUN LEE CATHOLIC SECONDARY SCHOOL,841372,821567,CO-ED,KWUN TONG
NLSI LUI KWOK PAT FONG COLLEGE,841537,820022,CO-ED,KWUN TONG
ST PAUL'S SCHOOL (LAM TIN),842500,818857,GIRLS,KWUN TONG
MAN KIU COLLEGE,838618,816487,CO-ED,EASTERN
MFBM CHAN LUI CHUNG TAK MEMORIAL COLLEGE,817696,835220,CO-ED,YUEN LONG
STFA TAM PAK YU COLLEGE,815237.5,827575.7,CO-ED,TUEN MUN
MARYMOUNT SECONDARY SCHOOL,837674,813839,GIRLS,WAN CHAI
TWGH YOW KAM YUEN COLLEGE,839048,827201,CO-ED,SHA TIN
KWOK TAK SENG CATHOLIC SECONDARY SCHOOL,837335,825926,CO-ED,SHA TIN
ST JOSEPH'S ANGLO-CHINESE SCHOOL,840397,821461,BOYS,KWUN TONG
SKH LAM KAU MOW SECONDARY SCHOOL,839095,827248,CO-ED,SHA TIN
ST STEPHEN'S GIRLS' COLLEGE,832916,816072.3,GIRLS,CENTRAL AND WESTERN
POOI TO MIDDLE SCHOOL,837177,821252,GIRLS,KOWLOON CITY
SING YIN SECONDARY SCHOOL,840221,821414,BOYS,KWUN TONG
LUI MING CHOI LUTHERAN COLLEGE,831246,826528,CO-ED,TSUEN WAN
NEW ASIA MIDDLE SCHOOL,837228,820204,CO-ED,KOWLOON CITY
CNEC CHRISTIAN COLLEGE,832417,824978,CO-ED,KWAI TSING
TWGH MRS WU YORK YU MEMORIAL COLLEGE,832561,825758,CO-ED,KWAI TSING
NING PO NO.2 COLLEGE,841562,820634,CO-ED,KWUN TONG
CHRISTIAN ALLIANCE S W CHAN MEM COLL,832253,837987,CO-ED,NORTH
FUKIEN SECONDARY SCHOOL (SIU SAI WAN),843879.7,813998.6,CO-ED,EASTERN
FUNG KAI LIU MAN SHEK TONG SEC SCH,831158,840974,CO-ED,NORTH
BUDDHIST WONG FUNG LING COLLEGE,837639,815253,CO-ED,WAN CHAI
HO DAO COLL (SPONSORED BY SIK SIK YUEN),818023,832723,CO-ED,YUEN LONG
"ST FRANCIS XAVIER'S SCHOOL, TSUEN WAN",830113,825484,BOYS,TSUEN WAN
CARITAS MA ON SHAN SECONDARY SCHOOL,842656,831812,CO-ED,SHA TIN
SALESIANS OF DON BOSCO NG SIU MUI SEC SC,831416,825290,BOYS,KWAI TSING
ST FRANCIS' CANOSSIAN COLLEGE,835457,815106,GIRLS,WAN CHAI
CARITAS CHAN CHUN HA FIELD STUDIES CTR,821895,807645,CO-ED,ISLANDS
LA SALLE COLLEGE,836829,821108,BOYS,KOWLOON CITY
LOK SIN TONG LEUNG CHIK WAI MEMORIAL SCH,828131,823486,CO-ED,KWAI TSING
CHEUNG CHUK SHAN COLLEGE,838242,816369,CO-ED,EASTERN
TWGH KWOK YAT WAI COLLEGE,818575,834269,CO-ED,YUEN LONG
NLSI PEACE EVANGELICAL SECONDARY SCHOOL,815328,827054,CO-ED,TUEN MUN
CCC CHUEN YUEN COLLEGE,831245,825484,CO-ED,KWAI TSING
YLPMSAA TANG SIU TONG SECONDARY SCHOOL,818227,834171,CO-ED,YUEN LONG
BUDDHIST YIP KEI NAM MEMORIAL COLLEGE,829206,823312,CO-ED,KWAI TSING
ABERDEEN TECHNICAL SCHOOL,834607,812221,BOYS,SOUTHERN
METHODIST LEE WAI LEE COLLEGE,831225,825145,CO-ED,KWAI TSING
TEXTILE INT ACC WOO HON FAI SEC SCH,828990,826452,CO-ED,TSUEN WAN
ST TERESA SECONDARY SCHOOL,836651,819983,GIRLS,KOWLOON CITY
KOWLOON TRUE LIGHT MIDDLE SCHOOL,836133,822144,GIRLS,KOWLOON CITY
DE LA SALLE SECONDARY SCHOOL N T,829473,840228,CO-ED,NORTH
HKTA THE YUEN YUEN INT NO.2 SEC SCH,836235,834846,CO-ED,TAI PO
CCC KEI SAN SECONDARY SCHOOL,831963,838981,CO-ED,NORTH
QUEEN'S COLL OLD BOYS' ASSN SEC SCH,828350,824689,CO-ED,KWAI TSING
CUMBERLAND PRESBYTN CH YAO DAO SEC SCH,821386,834403,CO-ED,YUEN LONG
CCC FONG YUN WAH SECONDARY SCHOOL,818693,836144,CO-ED,YUEN LONG
HKSYC&IA CHAN NAM CHONG MEMORIAL COLL,831356,822931,CO-ED,KWAI TSING
NG WAH CATHOLIC SECONDARY SCHOOL,838150,821501,BOYS,WONG TAI SIN
ST STEPHEN'S CHURCH COLLEGE,832281.6,816221.5,CO-ED,CENTRAL AND WESTERN
LIU PO SHAN MEMORIAL COLLEGE,830493,826030,CO-ED,TSUEN WAN
CHRIST COLLEGE,838141,826189,CO-ED,SHA TIN
SAI KUNG SUNG TSUN CATH SCH (SEC SECT),845817,827117,CO-ED,SAI KUNG
LOK SIN TONG LEUNG KAU KUI COLLEGE,833052,816345,CO-ED,CENTRAL AND WESTERN
CHING CHUNG HAU PO WOON SEC SCH,815219,827054,CO-ED,TUEN MUN
ISLAMIC KASIM TUET MEMORIAL COLLEGE,842776,814192,CO-ED,EASTERN
PO ON COMM ASSN WONG SIU CHING SEC SCH,829423,825823,CO-ED,TSUEN WAN
HK & KLN CCPA MA CHUNG SUM SEC SCH,838102,826207,CO-ED,SHA TIN
